Name,site,site_type,lat,lon,altitude,weather_station,fmisid,description,geometry
mu,mu,Advanced CarbonAction Site,60.824054100027595,23.781903462707554,113.68649291992188,Somero Salkola,101128,Description here.,POINT (23.78190346270755 60.8240541000276)
ik,ik,Advanced CarbonAction Site,63.03262559262521,22.415327192148826,29.305517196655273,Seinäjoki Pelmaa,101486,Description here.,POINT (22.41532719214883 63.03262559262521)
mi,mi,Advanced CarbonAction Site,60.35992221224665,24.011834862429872,51.90901184082031,Lohja Porla,100974,Description here.,POINT (24.01183486242987 60.35992221224665)
pa,pa,Advanced CarbonAction Site,60.45304981121857,24.680997129902607,50.34878921508789,Nurmijärvi Röykkä,101149,Description here.,POINT (24.68099712990261 60.45304981121857)
si,si,Advanced CarbonAction Site,60.57418919581583,25.49763842480496,47.62532043457031,Porvoo Harabacka,101028,Description here.,POINT (25.49763842480496 60.57418919581583)
li,li,Advanced CarbonAction Site,60.45449552460343,23.97241544849136,39.84494400024414,Lohja Porla,100974,Description here.,POINT (23.97241544849136 60.45449552460343)
ki,ki,Advanced CarbonAction Site,60.48314864975862,23.95192199025635,70.33432006835938,Somero Salkola,101128,Description here.,POINT (23.95192199025635 60.48314864975862)
ja,ja,Advanced CarbonAction Site,60.66172202200387,23.32297337653326,94.69783782958984,Jokioinen Ilmala,101104,Description here.,POINT (23.32297337653326 60.66172202200387)
ai,ai,Advanced CarbonAction Site,60.74810928007387,21.683721243674853,16.36441421508789,Rauma Pyynpää,105427,Description here.,POINT (21.68372124367485 60.74810928007387)
pi,pi,Advanced CarbonAction Site,60.84243692853153,22.723612064100756,78.05900573730469,Kaarina Yltöinen,100934,Description here.,POINT (22.72361206410076 60.84243692853153)
mo,mo,Advanced CarbonAction Site,60.8961459140514,25.050543576447136,94.50480651855469,Hämeenlinna Lammi Pappila,101154,Description here.,POINT (25.05054357644714 60.8961459140514)
pu,pu,Advanced CarbonAction Site,60.81568584461508,25.05728341322297,97.17218017578125,Mäntsälä Hirvihaara,103794,Description here.,POINT (25.05728341322297 60.81568584461508)
ko,ko,Advanced CarbonAction Site,61.60483713304129,24.548589898686366,90.57894897460938,Juupajoki Hyytiälä,101317,Description here.,POINT (24.54858989868637 61.60483713304129)
